City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,19.44,66,98,10.72,PN,1690595686
1,ribeira grande,38.5167,-28.7,22.65,91,11,0.89,PT,1690595687
2,dapa,9.7594,126.0531,26.67,78,100,3.76,PH,1690595687
3,ilulissat,69.2167,-51.1,0.26,92,39,2.42,GL,1690595687
4,malango,-2.9627,119.9001,25.44,59,33,1.76,ID,1690595687
5,mana,5.6592,-53.7767,25.62,90,97,4.61,GF,1690595688
6,magnaga,7.1694,125.8931,29.99,86,100,1.36,PH,1690595688
7,yanbu,24.0891,38.0637,31.02,89,0,5.14,SA,1690595540
8,mount isa,-20.7333,139.5,26.87,39,63,5.14,AU,1690595688
9,dayton,39.7589,-84.1916,28.59,87,40,4.12,US,1690595688
10,salalah,17.0151,54.0924,24.0,96,100,4.23,OM,1690595689
11,isangel,-19.55,169.2667,21.27,57,100,5.64,VU,1690595689
12,ushuaia,-54.8,-68.3,8.81,57,0,6.69,AR,1690595689
13,constantia,44.1833,28.65,16.5,67,3,4.44,RO,1690595467
14,papatowai,-46.5619,169.4708,11.6,65,100,1.93,NZ,1690595689
15,okha,53.5739,142.9478,13.99,85,100,6.75,RU,1690595690
16,veraval,20.9,70.3667,27.02,85,97,9.31,IN,1690595690
17,iqaluit,63.7506,-68.5145,11.85,58,75,1.03,CA,1690595691
18,polyarnyy,69.1989,33.4478,14.96,78,100,1.77,RU,1690595691
19,campo maior,-4.8278,-42.1686,26.24,43,19,1.6,BR,1690595691
20,lihue,21.9789,-159.3672,26.87,68,14,7.21,US,1690595691
21,jamestown,42.097,-79.2353,24.77,96,75,0.89,US,1690595501
22,brookings,44.3114,-96.7984,26.0,61,0,3.6,US,1690595692
23,blackmans bay,-43.0167,147.3167,16.52,58,100,4.01,AU,1690595692
24,port-aux-francais,-49.35,70.2167,3.95,81,100,11.55,TF,1690595692
25,ust-nera,64.5667,143.2,19.01,35,34,1.76,RU,1690595693
26,katsuren-haebaru,26.3369,127.8719,31.43,75,40,7.2,JP,1690595595
27,torres,-29.3353,-49.7269,11.57,76,43,5.25,BR,1690595693
28,kalmunai,7.4167,81.8167,28.4,65,24,1.4,LK,1690595693
29,dudinka,69.4058,86.1778,21.46,62,39,6.44,RU,1690595694
30,recani,31.2846,-4.2688,35.11,10,79,3.46,MA,1690595694
31,revda,56.801,59.9303,16.07,86,13,1.37,RU,1690595694
32,bethel,41.3712,-73.414,27.09,84,0,1.52,US,1690595670
33,vrbas,45.5714,19.6408,18.22,66,66,2.08,RS,1690595694
34,chonchi,-42.6128,-73.8092,12.56,93,100,5.17,CL,1690595695
35,polevskoy,56.4422,60.1878,16.27,84,8,1.71,RU,1690595696
36,el nido,11.1858,119.3956,28.49,75,100,6.26,PH,1690595696
37,ed damer,17.5928,33.9592,34.34,34,92,4.65,SD,1690595697
38,port lincoln,-34.7333,135.8667,16.4,59,0,9.31,AU,1690595697
39,hami,42.8,93.45,36.29,13,31,4.36,CN,1690595698
40,upata,8.0086,-62.3989,23.44,94,96,1.44,VE,1690595698
41,port elizabeth,-33.918,25.5701,15.16,82,0,4.63,ZA,1690595698
42,olonkinbyen,70.9221,-8.7187,5.78,85,100,3.71,SJ,1690595698
43,pecos,31.4229,-103.4932,35.17,18,0,7.2,US,1690595699
44,chui,-33.6971,-53.4616,7.23,84,22,1.96,UY,1690595699
45,enewetak,11.3474,162.3373,28.72,80,100,8.53,MH,1690595700
46,kotovo,50.3211,44.8012,19.1,88,100,4.78,RU,1690595700
47,puerto natales,-51.7236,-72.4875,2.18,95,100,1.52,CL,1690595700
48,margaret river,-33.95,115.0667,14.9,73,100,7.19,AU,1690595431
49,anadyr,64.75,177.4833,14.28,76,0,7.6,RU,1690595701
50,port alfred,-33.5906,26.891,15.1,94,56,0.45,ZA,1690595702
51,aasiaat,68.7098,-52.8699,2.05,95,47,3.66,GL,1690595703
52,torghay,49.6339,63.4981,27.83,47,11,3.63,KZ,1690595703
53,grytviken,-54.2811,-36.5092,-1.28,89,28,4.69,GS,1690595704
54,waitangi,-43.9535,-176.5597,11.57,95,99,1.79,NZ,1690595704
55,cozumel,20.5083,-86.9458,26.08,94,99,3.88,MX,1690595704
56,tiksi,71.6872,128.8694,6.25,70,0,3.56,RU,1690595705
57,luena,-11.7833,19.9167,19.1,37,0,2.57,AO,1690595705
58,eagle,43.6954,-116.354,35.56,21,0,3.09,US,1690595705
59,hadibu,12.65,54.0333,25.59,80,100,13.62,YE,1690595706
60,cirebon,-6.7063,108.557,27.61,54,34,4.77,ID,1690595452
61,sao joao da barra,-21.6403,-41.0511,21.84,86,100,6.67,BR,1690595706
62,georgetown,5.4112,100.3354,29.96,84,40,1.03,MY,1690595706
63,fort mcmurray,56.7268,-111.381,21.77,52,40,1.03,CA,1690595706
64,necochea,-38.5473,-58.7368,6.42,83,79,6.58,AR,1690595707
65,horta,38.5333,-28.6333,22.23,91,23,0.89,PT,1690595707
66,kodiak,57.79,-152.4072,12.09,95,100,4.6,US,1690595708
67,asika,19.6,84.65,29.74,75,80,2.49,IN,1690595708
68,yellowknife,62.456,-114.3525,22.29,60,100,2.57,CA,1690595708
69,severo-yeniseyskiy,60.3725,93.0408,20.49,62,99,1.09,RU,1690595708
70,wailua homesteads,22.0669,-159.378,26.53,68,17,3.58,US,1690595709
71,urangan,-25.3,152.9,19.5,68,17,0.26,AU,1690595709
72,new norfolk,-42.7826,147.0587,17.18,57,100,4.49,AU,1690595709
73,bumba,2.1833,22.4667,21.9,94,21,0.29,CD,1690595709
74,puerto ayora,-0.7393,-90.3518,24.19,93,65,0.45,EC,1690595710
75,kandiaro,27.0601,68.2091,31.68,65,76,4.86,PK,1690595710
76,utrik,11.2278,169.8474,28.43,81,100,9.15,MH,1690595710
77,tobelo,1.7284,128.0095,29.8,63,30,3.99,ID,1690595711
78,lebu,-37.6167,-73.65,12.13,85,100,2.65,CL,1690595711
79,iskateley,67.6803,53.1512,14.21,82,17,1.35,RU,1690595711
80,muyuka,4.2898,9.4103,23.52,98,100,0.81,CM,1690595712
81,baymak,52.5933,58.3225,19.13,69,0,1.63,RU,1690595712
82,madang,-5.2246,145.7966,27.28,75,99,2.49,PG,1690595712
83,kashgar,39.4547,75.9797,22.56,49,40,7.0,CN,1690595713
84,isafjordur,66.0755,-23.124,7.11,94,100,3.21,IS,1690595713
85,qingdao,36.0986,120.3719,28.78,84,100,8.0,CN,1690595714
86,boguchany,58.3814,97.4531,25.3,49,26,1.48,RU,1690595714
87,kudat,6.8837,116.8477,29.05,89,20,1.54,MY,1690595714
88,igarka,67.4667,86.5833,18.97,85,78,4.41,RU,1690595714
89,tazovsky,67.4667,78.7,17.15,81,100,2.84,RU,1690595715
90,nacala,-14.5428,40.6728,19.12,89,13,1.76,MZ,1690595715
91,corinto,37.9407,22.9573,23.83,66,0,3.27,GR,1690595523
92,carnarvon,-24.8667,113.6333,17.28,60,0,6.44,AU,1690595715
93,sitka,57.0531,-135.33,19.84,73,6,2.65,US,1690595715
94,edinburgh of the seven seas,-37.0676,-12.3116,14.22,82,100,14.51,SH,1690595716
95,crane,31.3974,-102.3501,32.14,27,0,5.3,US,1690595716
96,punta arenas,-53.15,-70.9167,5.4,87,100,7.45,CL,1690595716
97,ceres,37.5949,-120.9577,34.89,34,0,5.67,US,1690595716
98,zhanaozen,43.3,52.8,27.87,27,2,4.92,KZ,1690595717
99,oamaru,-45.0784,170.9801,12.43,55,98,2.01,NZ,1690595706
100,toliara,-23.35,43.6667,16.68,66,0,2.71,MG,1690595717
101,whitehorse,60.7161,-135.0538,28.34,31,20,2.57,CA,1690595717
102,berezovyy,51.6667,135.7,28.1,51,89,1.62,RU,1690595717
103,san patricio,28.017,-97.5169,30.1,62,66,5.62,US,1690595718
104,glace bay,46.1969,-59.957,20.99,93,40,3.13,CA,1690595719
105,tamandare,-8.7597,-35.1047,23.26,83,32,2.61,BR,1690595719
106,sinabang,2.4803,96.3801,28.04,74,78,0.44,ID,1690595719
107,biritiba mirim,-23.5725,-46.0386,17.18,97,97,1.59,BR,1690595719
108,santa cruz,-17.8,-63.1667,20.7,60,75,5.14,BO,1690595719
109,mahibadhoo,3.7833,72.9667,28.22,75,77,2.54,MV,1690595720
110,boa vista,2.8197,-60.6733,24.99,94,75,3.09,BR,1690595720
111,tolanaro,-25.0319,46.9987,18.04,77,20,2.06,MG,1690595720
112,boyolangu,-8.1181,111.8935,25.52,64,98,4.09,ID,1690595720
113,fortuna,40.5982,-124.1573,19.39,73,0,5.66,US,1690595721
114,bedford,52.1346,-0.4663,16.8,89,100,4.16,GB,1690595638
115,raduzhny,62.0961,77.475,20.19,70,18,1.77,RU,1690595721
116,mejit,10.2753,170.8646,28.48,79,100,9.05,MH,1690595721
117,superior,46.7208,-92.1041,19.71,76,0,5.14,US,1690595722
118,kenai,60.5544,-151.2583,14.49,95,100,3.09,US,1690595722
119,la passe,45.5549,-0.8967,19.43,95,96,2.43,FR,1690595722
120,anshun,26.25,105.9333,22.39,80,91,1.52,CN,1690595722
121,port mathurin,-19.6833,63.4167,23.16,78,8,5.97,MU,1690595722
122,xinyuan,37.3,99.0,13.48,45,3,1.05,CN,1690595723
123,longyearbyen,78.2186,15.6401,4.74,95,100,0.94,SJ,1690595463
124,corner brook,48.9667,-57.9484,15.09,80,93,1.91,CA,1690595723
125,bredasdorp,-34.5322,20.0403,10.33,90,58,5.63,ZA,1690595723
126,carutapera,-1.195,-46.02,24.35,94,31,2.21,BR,1690595724
127,norilsk,69.3535,88.2027,21.35,54,89,5.61,RU,1690595725
128,guanare,9.0418,-69.7421,31.01,62,100,1.54,VE,1690595725
129,bilibino,68.0546,166.4372,10.42,86,100,1.89,RU,1690595726
130,eastham,41.8301,-69.9739,25.55,76,1,2.68,US,1690595726
131,qaqortoq,60.7167,-46.0333,7.35,76,99,1.23,GL,1690595726
132,kita,13.0349,-9.4895,24.05,89,100,1.68,ML,1690595726
133,puerto rosario,-24.45,-57.0833,18.99,67,100,2.45,PY,1690595726
134,albany,42.6001,-73.9662,26.0,82,72,1.43,US,1690595727
135,olpad,21.3333,72.75,27.99,86,100,6.5,IN,1690595727
136,gornozavodsk,58.3758,58.3211,15.35,90,16,0.46,RU,1690595727
137,qarqaraly,49.4058,75.4742,20.89,41,58,3.37,KZ,1690595727
138,saranac lake,44.3295,-74.1313,22.84,84,98,1.71,US,1690595728
139,orlovskiy,46.8714,42.0592,18.59,80,83,9.08,RU,1690595728
140,birao,10.2849,22.7882,22.19,94,99,1.34,CF,1690595728
141,namibe,-15.1961,12.1522,14.39,83,1,5.03,AO,1690595729
142,dakhla,23.6848,-15.958,19.82,89,3,9.87,EH,1690595729
143,port saint john's,-31.6229,29.5448,22.43,44,100,3.79,ZA,1690595729
144,college,64.8569,-147.8028,29.21,55,100,1.47,US,1690595730
145,vorgashor,67.5833,63.95,12.33,72,10,4.02,RU,1690595730
146,pariaman,-0.619,100.12,29.03,75,100,0.58,ID,1690595717
147,cochrane,51.1834,-114.4687,15.11,81,100,3.6,CA,1690595730
148,east london,-33.0153,27.9116,17.93,74,76,7.32,ZA,1690595609
149,champerico,14.3,-91.9167,29.2,75,100,3.28,GT,1690595731
150,waddan,29.1614,16.139,25.02,59,2,2.48,LY,1690595731
151,loango,-4.6719,11.8312,20.81,94,100,1.54,CG,1690595731
152,kyshtovka,56.555,76.6271,16.42,96,100,2.3,RU,1690595732
153,san luis de la loma,17.2706,-100.8939,27.74,81,8,1.81,MX,1690595732
154,kununurra,-15.7667,128.7333,29.99,37,100,4.12,AU,1690595608
155,arkalyk,50.2486,66.9114,25.29,48,27,3.18,KZ,1690595643
156,protaras,35.0125,34.0583,26.11,93,0,2.24,CY,1690595733
157,talnakh,69.4865,88.3972,21.23,53,72,5.07,RU,1690595733
158,ulanhot,46.0833,122.0833,26.78,57,0,5.44,CN,1690595733
159,udachny,66.4167,112.4,21.92,37,0,2.89,RU,1690595733
160,san agustin de valle fertil,-30.6335,-67.4682,11.29,60,100,0.34,AR,1690595734
161,kholmsk,47.0511,142.0569,19.82,97,100,3.3,RU,1690595734
162,'alaqahdari dishu,30.4374,63.313,30.36,20,0,5.44,AF,1690595734
163,berber,18.0216,33.983,34.07,34,98,3.52,SD,1690595463
164,grand gaube,-20.0064,57.6608,21.22,75,24,1.34,MU,1690595735
165,ratnagiri,16.9833,73.3,26.29,86,100,7.01,IN,1690595464
166,avarua,-21.2078,-159.775,22.03,68,75,4.12,CK,1690595735
167,haiku-pauwela,20.9219,-156.3051,28.43,66,8,6.71,US,1690595735
168,tura,25.5198,90.2201,26.21,88,98,2.7,IN,1690595735
169,alice springs,-23.7,133.8833,19.75,77,100,4.63,AU,1690595736
170,thompson,55.7435,-97.8558,20.09,64,40,3.6,CA,1690595736
171,stuttgart,48.7823,9.177,18.08,79,0,0.51,DE,1690595736
172,atafu village,-8.5421,-172.5159,28.78,71,100,7.06,TK,1690595737
173,oranjemund,-28.55,16.4333,11.48,88,100,4.64,NA,1690595737
174,zhangye,38.9342,100.4517,30.66,23,0,5.33,CN,1690595737
175,nadi,-17.8,177.4167,27.0,47,40,1.54,FJ,1690595738
176,minas de marcona,-15.2119,-75.1103,13.28,84,27,4.84,PE,1690595738
177,sungjibaegam,41.2428,128.7989,25.58,48,81,2.03,KP,1690595738
178,san andres,12.5847,-81.7006,29.01,84,40,3.09,CO,1690595739
179,karratha,-20.7377,116.8463,23.93,30,23,6.49,AU,1690595739
180,southside,33.9245,-86.0225,26.95,86,0,2.06,US,1690595739
181,morehead city,34.7229,-76.726,29.0,85,0,5.14,US,1690595739
182,susuman,62.7833,148.1667,16.78,39,44,0.72,RU,1690595740
183,eilat,29.5581,34.9482,29.91,35,0,6.17,IL,1690595740
184,bria,6.5423,21.9863,19.61,89,80,1.07,CF,1690595740
185,moussoro,13.6408,16.4901,30.33,49,93,4.3,TD,1690595741
186,dunedin,-45.8742,170.5036,11.0,62,100,0.42,NZ,1690595741
187,stanley,54.868,-1.6985,14.33,86,0,2.57,GB,1690595741
188,qamdo,31.1667,97.2333,8.41,66,64,0.38,CN,1690595734
189,codrington,-38.2667,141.9667,13.63,82,52,7.38,AU,1690595741
190,orenburg,51.7727,55.0988,20.03,57,6,2.73,RU,1690595742
191,changtu,42.7788,124.0955,25.89,88,100,7.04,CN,1690595742
192,west island,-12.1568,96.8225,25.99,69,75,6.17,CC,1690595743
193,uturoa,-16.7333,-151.4333,26.68,76,12,4.16,PF,1690595743
194,kapa'a,22.0752,-159.319,27.28,66,18,3.58,US,1690595743
195,ongjin,37.9347,125.3619,24.47,92,99,3.45,KP,1690595743
196,hawaiian paradise park,19.5933,-154.9731,28.35,70,15,0.45,US,1690595744
197,ipilan,8.8431,117.9033,29.76,68,92,4.51,PH,1690595744
198,as sulayyil,20.4607,45.5779,31.14,16,67,0.76,SA,1690595744
199,mount gambier,-37.8333,140.7667,12.63,89,89,5.18,AU,1690595744
200,port douglas,-16.4833,145.4667,23.32,75,38,5.98,AU,1690595744
201,el ejido,36.7763,-2.8146,25.52,60,0,0.93,ES,1690595745
202,al kharijah,25.4514,30.5464,30.67,22,0,4.78,EG,1690595746
203,kolonia town,6.964,158.206,29.29,71,57,3.45,FM,1690595746
204,kayangel,8.0823,134.7173,28.49,79,100,9.25,PW,1690595746
205,severnoye,56.3491,78.3619,17.61,75,100,2.44,RU,1690595747
206,borogontsy,62.6683,131.1683,24.06,35,6,1.68,RU,1690595747
207,terrace,54.5163,-128.6035,28.95,30,75,3.09,CA,1690595748
208,arraias,-12.9288,-46.9437,22.81,58,62,1.96,BR,1690595748
209,robertsport,6.7533,-11.3686,25.47,86,100,5.6,LR,1690595748
210,veinticinco de mayo,-35.4323,-60.1727,6.66,88,100,1.79,AR,1690595749
211,hamilton,39.1834,-84.5333,30.24,82,22,2.59,US,1690595749
212,barbacoas,1.6715,-78.1398,25.05,96,100,0.5,CO,1690595749
213,tsiombe,-25.3,45.4833,15.51,87,0,1.73,MG,1690595749
214,edgemere,39.2421,-76.448,25.25,90,0,1.54,US,1690595750
215,flying fish cove,-10.4217,105.6791,25.82,73,75,6.69,CX,1690595750
216,yuzhno-kurilsk,44.0306,145.8556,21.65,79,100,1.36,RU,1690595750
217,beijing,39.9075,116.3972,26.94,60,100,2.18,CN,1690595636
218,weno,7.4515,151.8468,28.97,84,100,7.2,FM,1690595751
219,aguadilla,18.4275,-67.1541,27.03,92,98,1.34,PR,1690595751
220,sao tome,0.3365,6.7273,25.02,78,75,8.23,ST,1690595751
221,nemuro,43.3236,145.575,19.49,89,100,2.39,JP,1690595751
222,kapuskasing,49.4169,-82.4331,16.05,63,75,2.57,CA,1690595752
223,st. john's,47.5649,-52.7093,17.66,77,100,0.0,CA,1690595752
224,qiryat shemona,33.2073,35.5721,25.94,53,0,1.57,IL,1690595752
225,karwar,14.8,74.1333,25.74,86,46,5.28,IN,1690595753
226,saipan,15.1355,145.701,28.67,75,37,4.07,MP,1690595753
227,ancud,-41.8697,-73.8203,11.69,97,100,10.7,CL,1690595754
228,andilamena,-17.0167,48.5833,12.16,94,42,3.06,MG,1690595754
229,rawson,-43.3002,-65.1023,14.43,48,100,11.49,AR,1690595754
230,kalabo,-14.97,22.6814,14.59,37,2,2.1,ZM,1690595754
231,washington,47.5001,-120.5015,31.38,24,49,2.39,US,1690595732
232,las toscas,-28.3529,-59.258,11.16,61,0,2.91,AR,1690595755
233,cartagena,10.3997,-75.5144,24.79,88,20,2.57,CO,1690595694
234,hermanus,-34.4187,19.2345,10.45,90,100,16.55,ZA,1690595755
235,lompoc,34.6391,-120.4579,28.21,77,9,6.71,US,1690595755
236,chibougamau,49.9168,-74.3659,11.79,76,100,4.63,CA,1690595756
237,lerwick,60.1545,-1.1494,14.0,94,93,7.05,GB,1690595756
238,isheyevka,54.4167,48.2667,20.73,79,70,2.58,RU,1690595756
239,cocieri,47.3075,29.1103,14.09,41,78,0.78,MD,1690595757
240,bathsheba,13.2167,-59.5167,27.34,94,75,7.2,BB,1690595757
241,nioki,-2.7167,17.6833,24.09,62,5,1.52,CD,1690595758
242,balkanabat,39.5108,54.3671,31.94,21,0,2.88,TM,1690595758
243,san matias,-16.3667,-58.4,24.51,60,97,3.91,BO,1690595758
244,greymouth,-42.4667,171.2,10.94,66,21,0.88,NZ,1690595759
245,lagoa,39.05,-27.9833,22.04,89,1,3.95,PT,1690595759
246,howrah,22.5892,88.3103,29.0,89,75,2.57,IN,1690595759
247,tegueste,28.5167,-16.3167,19.81,85,100,8.94,ES,1690595759
248,tazacorte,28.629,-17.9293,22.54,85,75,5.66,ES,1690595760
249,touros,-5.1989,-35.4608,23.68,84,10,5.68,BR,1690595760
250,puerto baquerizo moreno,-0.9,-89.6,23.81,83,100,4.71,EC,1690595760
251,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,73,20,4.0,RU,1690595761
252,goundam,16.4145,-3.6708,33.61,40,7,5.85,ML,1690595761
253,bareilly,28.35,79.4167,27.76,80,63,0.48,IN,1690595671
254,yaiza,28.9633,-13.7631,21.87,64,100,7.2,ES,1690595762
255,roxas,11.5853,122.7511,27.86,80,100,4.12,PH,1690595762
256,nueva esperanza,15.2667,-87.6,24.79,99,100,1.13,HN,1690595762
257,verkhovazh'ye,60.7472,42.0465,17.1,99,62,1.64,RU,1690595763
258,kegeyli shahar,42.7767,59.6078,24.05,26,0,3.94,UZ,1690595763
259,clarion,41.2148,-79.3853,23.19,82,99,3.37,US,1690595763
260,kampene,-3.6,26.6667,20.7,49,5,0.7,CD,1690595764
261,saint-pierre,-21.3393,55.4781,17.82,52,0,3.6,RE,1690595764
262,selfoss,63.9331,-20.9971,9.47,84,67,1.89,IS,1690595765
263,vilyuysk,63.7553,121.6247,23.95,34,0,3.12,RU,1690595765
264,badger,64.8,-147.5333,29.17,54,100,1.59,US,1690595765
265,bengbu,32.9408,117.3608,26.9,89,99,8.83,CN,1690595765
266,zeya,53.75,127.2667,24.91,57,62,2.52,RU,1690595765
267,mar del plata,-38.0023,-57.5575,8.38,84,0,4.12,AR,1690595766
268,callao,-12.0667,-77.15,20.16,77,75,5.14,PE,1690595766
269,bac lieu,9.285,105.7244,27.7,81,100,5.42,VN,1690595766
270,debre tabor,11.85,38.0167,11.05,89,100,0.33,ET,1690595766
271,san antonio de pale,-1.4014,5.6325,22.64,84,100,7.0,GQ,1690595767
272,luderitz,-26.6481,15.1594,12.46,83,100,4.8,NA,1690595767
273,baruun-urt,46.6806,113.2792,26.79,31,12,2.94,MN,1690595767
274,antsiranana,-12.2787,49.2917,20.69,66,1,7.49,MG,1690595768
275,koryazhma,61.3143,47.1691,18.85,95,13,2.98,RU,1690595768
276,mujiayingzi,42.1167,118.7833,27.91,49,100,2.26,CN,1690595769
277,nyurba,63.2842,118.3319,23.93,44,47,3.54,RU,1690595769
278,suntar,62.1444,117.6319,24.62,49,28,3.73,RU,1690595769
279,vadso,70.0744,29.7487,10.49,100,100,0.51,NO,1690595770
280,san pascual,13.7975,121.0342,30.35,75,100,3.81,PH,1690595770
281,patacamaya,-17.2333,-67.9167,4.31,86,87,3.65,BO,1690595770
282,guiuan,11.0333,125.7247,28.0,75,100,9.84,PH,1690595770
283,punta del este,-34.9667,-54.95,8.82,81,20,1.54,UY,1690595771
284,san pedro pochutla,15.7333,-96.4667,25.78,84,15,1.8,MX,1690595771
285,wynyard,-41.0,145.7167,12.68,90,98,6.83,AU,1690595510
286,vaasa,63.096,21.6158,14.97,99,75,5.36,FI,1690595772
287,el granada,37.5027,-122.4694,26.15,80,0,5.66,US,1690595773
288,uaua,-9.8414,-39.4817,19.86,89,14,4.93,BR,1690595773
289,pangody,65.85,74.4859,19.47,81,100,2.29,RU,1690595774
290,ban bueng,13.311,101.1121,32.59,63,69,6.15,TH,1690595725
291,queenstown,-31.8976,26.8753,14.63,39,54,3.64,ZA,1690595774
292,phongsali,21.6833,102.1058,19.66,95,99,0.59,LA,1690595775
293,margate,51.3813,1.3862,17.72,90,100,3.13,GB,1690595775
294,at taj,24.2049,23.2857,28.76,30,0,4.56,LY,1690595775
295,shingu,33.7333,135.9833,29.51,63,51,2.45,JP,1690595750
296,kokemaki,61.2565,22.3564,13.88,95,100,2.87,FI,1690595775
297,arkhangel'sk,64.5401,40.5433,16.77,95,100,4.09,RU,1690595773
298,prachuap khiri khan,12.2167,99.75,25.44,75,100,3.54,TH,1690595776
299,nova sintra,14.8667,-24.7167,22.62,79,20,9.45,CV,1690595776
